"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Subdivision/Condo Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","T3434710","ACT","10405 HAMPTON MEADOW WAY","RIVERVIEW","33578","PARK CREEK PH 1A","","3,036","$530,000","4","3","1","2015","None","Single Family Residence","$5,044.25","270","270","","","","$174.57","","","SIGNATURE REALTY ASSOCIATES","Claudia Smith","278505354","","Tampa","Tampa"
"1","T3485924","ACT","12573 BERGSTROM BAY DR","RIVERVIEW","33579","TRIPLE CREEK","","2,453","$531,870","4","3","0","2024","None","Single Family Residence","$0.00","35","35","","","","$216.82","","","LENNAR REALTY","Ben Goldstein","629029835","","Tampa","Tampa"
"1","T3461462","ACT","4419 W PRICE AVE","TAMPA","33611","BINGHAMS BAYBRIDGE ADD","","1,719","$532,900","3","2","0","1954","None","Single Family Residence","$5,613.00","143","143","","","","$310.01","","","FUTURE HOME REALTY INC","John LaRocca","261547573","","Tampa","Pinellas Suncoast"
"1","T3474037","ACT","4640 W EUCLID AVE","TAMPA","33629","BEL MAR UNIT 2","","1,662","$534,000","3","2","0","1950","None","Single Family Residence","$4,069.00","88","88","","","","$321.30","","","US REALTY HUB LLC","Evan Doyle","261594815","","Tampa","Osceola"
"1","T3455890","ACT","11010 SPRING POINT CIR","RIVERVIEW","33579","LUCAYA LAKE CLUB PH 1A","","3,092","$534,000","5","3","0","2016","Community","Single Family Residence","$7,337.21","171","171","","","","$172.70","","","COMPASS FLORIDA, LLC","De'Erika Watson","261556869","","Tampa","Tampa"
"1","T3488505","ACT","3305 W MARLIN AVE","TAMPA","33611","GANDY BOULEVARD PARK","","1,008","$535,000","3","1","0","1960","None","Single Family Residence","$5,045.19","11","11","","","","$530.75","","","COLDWELL BANKER REALTY","Michael Owens","261559022","","Tampa","Pinellas Suncoast"
"1","T3485953","ACT","2914 N MASSACHUSETTS AVE","TAMPA","33602","4QY | BLACK'S W C SECOND ADD CO","","1,130","$535,000","2","1","0","1923","None","Single Family Residence","$2,235.00","32","32","","","","$473.45","","","PARTNER AGENT REALTY INC","Matt Sienk-G Sienk","603369168","","Tampa","Tampa"
"1","T3477028","ACT","4605 W LOUGHMAN ST","TAMPA","33616","PORT TAMPA CITY MAP","","1,999","$535,000","4","2","0","1987","None","Single Family Residence","$644.42","70","70","","","","$267.63","","","COLDWELL BANKER REALTY","Barbara Oskam","261567870","","Tampa","Pinellas Suncoast"
"1","O6145429","ACT","10855 CORY LAKE DR","TAMPA","33647","CORY LAKE ISLES PH 5 UN 1","","2,111","$535,000","3","2","0","2004","Community","Single Family Residence","$9,377.54","78","78","","","","$253.43","","","EXP REALTY LLC","Rafael Narvaez","261222194","","Orlando Regional","Orlando Regional"
"1","T3460320","ACT","6619 INTERBAY BLVD","TAMPA","33611","PARNELLS SUB","","1,468","$535,000","3","2","0","1985","None","Single Family Residence","$3,064.27","144","144","","","","$364.44","","","SMITH & ASSOCIATES REAL ESTATE","Cynthia Kaszirer","261561581","","Tampa","Tampa"
