"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Subdivision/Condo Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","T3367976","EXP","4405 N 38TH ST","TAMPA","33610","HOLLOMANS J J","","2,455","$349,900","5","3","0","1928","None","Single Family Residence","$2,064.75","201","201","","","","$142.53","","","PEOPLE'S CHOICE REALTY SVC LLC","Sharon Schofield","261537468","","Tampa","Tampa"
"1","U8209369","EXP","4405 N 38TH ST","TAMPA","33610","HOLLOMANS J J","","2,455","$350,000","3","2","0","1928","None","Single Family Residence","$2,364.12","30","30","","","","$142.57","","","IMAGINE REALTY LLC","Stephanie Perez","260052665","","Pinellas Suncoast","Pinellas Suncoast"
"1","T3463601","EXP","2003 E WILDER AVE","TAMPA","33610","PEDDY & HACKNEY SUB","","1,157","$359,900","3","2","0","1945","None","Single Family Residence","$2,136.00","48","48","","","","$311.06","","","OUT FAST REALTY & INVESTMENTS","Aijalon Chambers","261500115","","Tampa","Pinellas Suncoast"
"1","T3436130","EXP","4925 S 83RD ST","TAMPA","33619","PROGRESS VILLAGE UNIT 2","","1,325","$359,900","4","2","0","1961","None","Single Family Residence","$2,789.90","49","49","","","","$271.62","","","REALNET FLORIDA REAL ESTATE","Marlene Escarate","081205281","","Tampa","Tampa"
"1","T3417871","EXP","1502 W COUNTRY CLUB DR","TAMPA","33612","GOLFLAND OF TAMPAS NORTH SIDE","","1,062","$359,900","2","1","0","1955","None","Single Family Residence","$3,149.81","85","85","","","","$338.89","","","360 REALTY OF TAMPA LLC","Tallia Keene","261564821","","Tampa","Tampa"
"1","T3444442","EXP","6419 N 48TH ST","TAMPA","33610","EAST POINT SUB","","1,570","$359,999","4","3","0","1954","None","Single Family Residence","$3,635.45","153","153","","","","$229.30","","","FRIENDS REALTY LLC","Laureano Lorenzo","261563634","","Tampa","Tampa"
"1","T3434683","EXP","8013 TUDOR PL","TAMPA","33610","KINGS FOREST","","1,152","$360,000","3","2","0","1961","None","Single Family Residence","$3,099.29","167","167","","","","$312.50","","","FRIENDS REALTY LLC","Katerin Matos Garcia","261559769","","Tampa","Tampa"
"1","T3426345","EXP","12244 DAWN VISTA DR","RIVERVIEW","33578","SOUTH POINTE PH 2A 2B","","1,665","$360,000","4","2","0","2000","Private","Single Family Residence","$4,428.15","35","35","","","","$216.22","","","MARZUCCO REAL ESTATE","Danielle Jones","261551750","","Tampa","Orlando Regional"
"1","T3394551","EXP","13924 BRIARDALE LN","TAMPA","33618","CHERRY CREEK UNIT 4","","1,475","$365,000","3","2","0","1975","None","Single Family Residence","$3,723.00","115","115","","","","$247.46","","","1 PERCENT LISTS SUNCOAST","Michael Cinquemano, Jr.","445517026","","Tampa","Tampa"
"1","T3403625","EXP","8002 PINE HILL DR","TAMPA","33617","HERCHEL HEIGHTS REV","","1,355","$369,000","3","2","0","1957","None","Single Family Residence","$1,401.48","134","134","","","","$272.32","","","EZ CHOICE REALTY","Angelica Vazquez","261524131","","Tampa","Tampa"
"1","T3432845","EXP","6619 N 11TH ST","TAMPA","33604","SEABRON SUB","","1,070","$369,500","2","1","0","1950","None","Single Family Residence","$663.00","62","62","","","","$345.33","","","CENTURY 21 LIST WITH BEGGINS","Dale Nabors, Jr","261501030","","Tampa","Tampa"
"1","T3412684","EXP","2122 W CLIFTON ST","TAMPA","33603","MILWOOD ESTATES","","1,520","$369,900","3","2","0","1969","None","Single Family Residence","$3,473.39","57","57","","","","$243.36","","","HOMESMART","Cheryl Kypreos","144040596","","Tampa","Tampa"
"1","T3383379","EXP","10333 AVELAR RIDGE DR","RIVERVIEW","33578","AVELAR CREEK SOUTH","","2,164","$369,900","4","2","1","2007","None","Single Family Residence","$5,682.98","111","111","","","","$170.93","","","BAY AREA REAL ESTATE & RENTALS","Becky Simone","260040668","","Tampa","Tampa"
"1","R4906866","EXP","12636 ADVENTURE DR","RIVERVIEW","33579","PANTHER TRACE PH 1B/1C","","1,558","$370,000","4","2","0","2005","Community","Single Family Residence","$4,955.58","46","46","","","","$237.48","","","BOKORS CORNER REALTY LLC","Sharon Bokor","261518813","","Other","Other"
"1","T3417820","EXP","10639 WALKER VISTA DR","RIVERVIEW","33578","SOUTH POINTE PH 01A 01B","","1,685","$370,700","4","2","0","1999","Community","Single Family Residence","$2,284.07","20","20","","","","$220.00","","","FIRESIDE REAL ESTATE","Imelda Dutton","261532139","","Tampa","Tampa"
"1","T3416301","EXP","7407 THOMAS WAY","TAMPA","33619","CLAIR MEL CITY SEC A UNIT","","1,682","$373,000","4","2","0","1972","None","Single Family Residence","$2,972.87","81","81","","","","$221.76","","","BRAINARD REALTY","Maria Castillo","261551303","","Tampa","Tampa"
"1","T3396413","EXP","2908 E 28TH AVE","TAMPA","33605","MAP OF CAMPOBELLO","","1,698","$374,990","3","2","1","2022","None","Single Family Residence","$209.00","0","0","","","","$220.84","","","DOMAIN REALTY LLC","Kevin Robles","261536852","","Tampa","Tampa"
"1","T3474092","EXP","3210 W HARTNETT AVE","TAMPA","33611","AVERILLS 1ST ADD","","1,264","$375,000","3","2","0","1950","None","Single Family Residence","$3,559.84","40","40","","","","$296.68","","","TOMLIN, ST CYR & ASSOCIATES LLC","Jason Rodriguez","261554913","","Tampa","Tampa"
"1","T3460750","EXP","820 W LOWRY LN","TAMPA","33604","LOWRY LANE SUB","","1,466","$375,000","4","2","0","1953","None","Single Family Residence","$4,351.93","79","79","","","","$255.80","","","MOMENTUM REAL ESTATE LLC","Jennifer Barriffe","261551285","","Tampa","Tampa"
"1","T3413701","EXP","1402 W HIAWATHA ST","TAMPA","33604","RIVIERA SUB","","1,338","$375,000","3","1","0","1950","None","Single Family Residence","$2,663.57","228","228","","","","$280.27","","","SMITH & ASSOCIATES REAL ESTATE","David Dubiansky","846562270","","Tampa","Tampa"
"1","T3408459","EXP","12420 CEDARFIELD DR","RIVERVIEW","33579","SOUTH COVE PHASE 1","","1,685","$375,000","4","2","0","2004","Community","Single Family Residence","$2,615.00","115","63","","","","$222.55","","","ALIGN RIGHT REALTY SOUTH SHORE","Shawna Calvert","261561867","","Tampa","Tampa"
"1","T3407929","EXP","6010 N HIMES AVE","TAMPA","33614","UNPLATTED","","1,068","$375,000","3","2","0","1955","None","Single Family Residence","$2,798.03","92","92","","","","$351.12","","","LPT REALTY","Yae Colon","261564778","","Tampa","Orlando Regional"
