"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","T3450117","ACT","8414 N ORANGEVIEW AVE","TAMPA","33617","$200,000","","","","117","117","One","","","","Square Feet","1956","1,176","1,606"
"1","U8214583","ACT","4920 S 84TH ST","TAMPA","33619","$210,000","","","","36","36","One","","","","Square Feet","1961","864","1,406"
"1","T3465075","ACT","1505 E ANNIE ST","TAMPA","33612","$215,000","","","","126","126","One","","","","Square Feet","1949","712","712"
"1","T3489099","ACT","1602 TILSEN DR","TAMPA","33612","$219,000","","","","6","6","One","","1","","Square Feet","1957","1,018","1,486"
"1","T3486416","ACT","3508 E 28TH AVE","TAMPA","33605","$220,000","","","","32","309","One","","","","Square Feet","1907","1,292","1,292"
"1","T3483915","ACT","8738 N TANGERINE PL","TAMPA","33617","$220,000","","","","34","34","One","","","","Square Feet","1961","1,020","1,020"
"1","U8217698","ACT","3407 E 21ST AVE","TAMPA","33605","$220,000","","","","50","50","One","","","","Square Feet","1925","1,228","1,504"
"1","C7478239","ACT","8204 N BROOKS ST","TAMPA","33604","$224,900","","","","139","139","One","","","","Square Feet","1922","912","978"
"1","T3488561","ACT","8112 N HILLSBOROUGH LN","TAMPA","33604","$225,000","","","","20","20","One","","","","Square Feet","1948","872","920"
"1","T3484151","ACT","1808 E WATERS AVE","TAMPA","33604","$225,000","","","","32","32","One","","1","","Square Feet","1958","1,109","1,847"
"1","T3484895","ACT","4407 N 29TH ST","TAMPA","33610","$229,000","","","","40","40","One","Crawl Space","","","Square Feet","1920","882","936"
"1","T3479653","ACT","8610 N 12TH ST","TAMPA","33604","$229,000","","","","57","57","One","","","","Square Feet","1946","884","916"
"1","T3470076","ACT","3701 E YUKON ST","TAMPA","33604","$229,000","","","","104","104","One","","","","Square Feet","1959","624","786"
"1","T3476703","ACT","8428 N HIGHLAND AVE","TAMPA","33604","$229,900","","","","74","74","One","","","","Square Feet","1946","1,041","1,089"
"1","O6153197","ACT","5124 CHILKOOT ST","TAMPA","33617","$235,000","","","","52","52","One","","","","Square Feet","1987","1,328","1,328"
"1","O6148353","ACT","1207 E CARACAS ST","TAMPA","33603","$235,000","","","","69","69","One","","","","Square Feet","1942","980","1,100"
"1","T3463878","ACT","2410 E 17TH AVE","TAMPA","33605","$235,000","","","","135","135","One","","","","Square Feet","1925","1,000","1,000"
"1","T3487443","ACT","10017 LOLA ST","TAMPA","33612","$239,900","","","","28","28","One","","2","","Square Feet","1959","817","1,737"
"1","T3489498","ACT","8210 N 13TH ST","TAMPA","33604","$239,990","","","","17","17","One","","","","Square Feet","1930","995","1,221"
"1","U8214560","ACT","317 E 132ND AVE","TAMPA","33612","$244,000","","","","88","88","One","","1","","Square Feet","1954","1,314","1,693"
"1","T3485988","ACT","3615 N 52ND ST","TAMPA","33619","$244,900","","","","32","32","One","","","","Square Feet","1945","550","960"
"1","T3489829","ACT","8410 N HAMNER AVE","TAMPA","33604","$245,000","","","","14","14","One","","","","Square Feet","1951","912","912"
"1","T3461990","ACT","3807 E CAYUGA ST","TAMPA","33610","$248,500","","","","143","143","One","","1","","Square Feet","2002","1,252","1,252"
"1","T3461976","ACT","3805 E CAYUGA ST","TAMPA","33610","$248,500","","","","143","143","One","","1","","Square Feet","2001","1,252","1,252"
"1","T3486640","ACT","6428 N 49TH ST","TAMPA","33610","$248,900","","","","33","33","One","","","","Square Feet","1958","888","912"
"1","T3451853","ACT","3011 E ELLICOTT ST","TAMPA","33610","$249,000","","","","26","26","One","","","","Square Feet","1983","1,805","1,805"
"1","T3491190","ACT","1907 E NORTH BAY ST","TAMPA","33610","$249,900","","","","6","6","One","","1","16x16","Square Feet","1934","1,142","1,337"
"1","T3479844","ACT","8010 N BROOKS ST","TAMPA","33604","$249,900","","","","60","60","One","","","","Square Feet","1921","814","990"
"1","T3465297","ACT","8212 N MARKS ST","TAMPA","33604","$249,999","","","","129","129","One","","","","Square Feet","1947","1,320","1,320"
"1","T3451790","ACT","103 W HAMILTON AVE","TAMPA","33604","$250,000","","","","125","125","Two","","","","Square Feet","1948","1,498","1,498"
"1","T3435528","ACT","3601 DELEUIL AVE","TAMPA","33610","$250,000","","","","256","256","One","","","","Square Feet","1964","1,050","1,050"
"1","T3433524","ACT","1408 E 23RD AVE","TAMPA","33605","$250,000","","","","201","201","One","","","","Square Feet","1961","1,106","1,106"
"1","O6161833","ACT","2102 E HAMILTON AVE","TAMPA","33610","$252,500","","","","11","11","One","","","","Square Feet","1956","966","966"
"1","T3479012","ACT","4317 E OSBORNE AVE","TAMPA","33610","$254,900","","","","56","56","One","","","","Square Feet","1957","1,008","1,040"
"1","T3442187","ACT","4617 E LAKE AVE","TAMPA","33610","$258,000","","","","237","237","One","","","","Square Feet","2023","820","820"
"1","T3480479","ACT","10008 N JASMINE AVE","TAMPA","33612","$259,000","","","","61","61","One","","","","Square Feet","1953","725","11,145"
"1","T3480200","ACT","9310 N 12TH ST","TAMPA","33612","$259,000","","","","62","62","One","","","","Square Feet","1949","867","927"
"1","OM667111","ACT","7409 RHODE ISLAND DR","TAMPA","33619","$259,900","","","","52","52","One","","","","Square Feet","1930","855","79"
"1","U8207723","ACT","3614 POTTER ST","TAMPA","33605","$259,999","","","","151","151","One","","","","Square Feet","1937","1,105","1,210"
"1","T3487875","ACT","1008 E 25TH AVE Unit#1/2","TAMPA","33605","$260,000","","","","22","22","One","","","","Square Feet","1925","760","1,240"
"1","T3481426","ACT","7513 ROBINDALE RD","TAMPA","33619","$264,900","","","","33","33","One","","","","Square Feet","1959","960","1,364"
"1","A4591428","ACT","4703 ELDORADO DR","TAMPA","33615","$269,000","","","","9","9","One","","","","Square Feet","1959","1,632","1,632"
"1","T3485512","ACT","2002 E WOOD ST","TAMPA","33604","$269,900","","","","38","38","One","","","","Square Feet","1959","1,015","1,075"
"1","T3485485","ACT","404 E HANLON ST","TAMPA","33604","$269,900","","","","19","19","One","","","","Square Feet","1948","672","772"
"1","U8220419","ACT","2925 SAMPLE LOOP","TAMPA","33619","$269,900","","","","40","40","One","","","","Square Feet","1959","792","1,099"
"1","T3480052","ACT","8502 N 15TH ST","TAMPA","33604","$269,900","","","","59","59","One","","","","Square Feet","1947","1,317","1,317"
"1","T3491668","ACT","2911 MISSOURI AVE","TAMPA","33619","$269,999","","","","5","5","One","","","","Square Feet","1952","856","856"
"1","T3463569","ACT","808 S CASTLE CT","TAMPA","33612","$270,000","","","","93","93","One","","","","Square Feet","1957","1,383","1,551"
"1","T3449999","ACT","3009 N 13TH ST","TAMPA","33605","$270,000","","","","173","173","One","","","","Square Feet","1939","912","1,080"
"1","T3483476","ACT","8711 N ORANGEVIEW AVE","TAMPA","33617","$274,900","","","","41","41","One","","","","Square Feet","1950","1,176","1,176"
"1","U8216016","ACT","3004 CORD ST","TAMPA","33605","$274,900","","","","67","67","One","","","","Square Feet","1961","1,054","1,164"
"1","T3472965","ACT","5603 E CHELSEA ST","TAMPA","33610","$274,900","","","","94","94","One","","","","Square Feet","1947","1,291","1,291"
"1","T3492150","ACT","5820 PORTSMOUTH DR","TAMPA","33615","$275,000","","","","0","0","One","","","","Square Feet","1967","1,646","2,630"
"1","T3491619","ACT","11605 MOUNTAIN BAY DR","RIVERVIEW","33569","$275,000","","","","4","4","One","","2","20x20","Square Feet","2006","1,540","2,234"
"1","T3489779","ACT","4726 MILLPOND LN","TAMPA","33624","$275,000","","","","10","10","Two","","1","","Square Feet","1979","1,499","2,031"
"1","L4941035","ACT","129 MELANIE LN","BRANDON","33510","$275,000","","","","18","18","One","","","","Square Feet","1965","1,050","1,316"
"1","T3483147","ACT","724 WESTBROOK AVE","BRANDON","33511","$275,000","","","","48","48","One","","","","Square Feet","1962","920","1,060"
"1","T3471453","ACT","9405 N MULBERRY ST","TAMPA","33612","$275,000","","","","101","101","One","","","","Square Feet","1974","1,168","1,168"
"1","P4926853","ACT","2409 S 70TH ST","TAMPA","33619","$275,000","","","","130","130","One","","","","Square Feet","1940","1,008","1,044"
"1","T3429401","ACT","3206 N 46TH ST","TAMPA","33605","$275,000","","","","37","37","One","","","21x11","Square Feet","1961","1,253","1,650"
"1","T3490337","ACT","2433 S RAMONA CIR","TAMPA","33612","$278,000","","","","10","10","One","","","","Square Feet","1958","988","988"
"1","T3469373","ACT","4404 N TROY ST","TAMPA","33610","$279,000","","","","105","105","One","","","","Square Feet","1962","1,134","1,314"
"1","T3466843","ACT","1309 E POINSETTIA AVE","TAMPA","33612","$279,000","","","","123","123","One","","","","Square Feet","1958","950","1,078"
"1","T3442188","ACT","4619 E LAKE AVE","TAMPA","33610","$279,000","","","","236","236","Two","","","","Square Feet","2023","1,065","1,065"
"1","T3488478","ACT","1806 E 97TH AVE","TAMPA","33612","$279,950","","","","19","19","One","","","","Square Feet","1978","786","936"
"1","T3478173","ACT","3804 E LAMBRIGHT ST","TAMPA","33610","$280,000","","","","70","70","One","","","","Square Feet","1957","1,030","1,686"
"1","T3483378","ACT","4218 E IDLEWILD AVE","TAMPA","33610","$283,000","","","","45","45","One","","","","Square Feet","1968","1,182","1,519"
