"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","T3442357","CAN","4707 E 98TH AVE","TAMPA","33617","$300,000","","","","0","0","Two","","","","Square Feet","1977","2,121","2,025"
"1","T3456585","CAN","8705 N HIGHLAND AVE","TAMPA","33604","$305,000","","","","65","74","One","","","","Square Feet","1967","938","1,600"
"1","C7476491","CAN","8328 GARRISON CIR","TAMPA","33615","$305,000","","","","38","38","One","","1","","Square Feet","1972","1,339","2,626"
"1","T3397136","CAN","11807 BRENFORD CREST DR","RIVERVIEW","33579","$305,000","","","","36","36","One","","1","","Square Feet","2003","1,360",""
"1","T3446342","CAN","7805 N RIVERDALE AVE","TAMPA","33604","$307,800","","","","66","66","One","","","","Square Feet","1948","1,008","1,072"
"1","T3458116","CAN","2005 N ARMENIA AVE","TAMPA","33607","$309,900","","","","83","83","One","","","","Square Feet","1903","874","1,010"
"1","T3456985","CAN","1401 E KNOLLWOOD ST","TAMPA","33604","$309,900","","","","6","6","One","","","","Square Feet","1952","1,243","1,673"
"1","T3462854","CAN","8207 CLERMONT ST","TAMPA","33637","$310,000","","","","46","46","One","","","","Square Feet","1986","1,496","1,496"
"1","T3448615","CAN","1407 E NORTH ST","TAMPA","33604","$310,000","","","","37","37","One","","2","","Square Feet","1948","922","982"
"1","T3400591","CAN","1505 E GIDDENS AVE","TAMPA","33610","$312,900","","","","51","51","One","","1","","Square Feet","1999","1,172",""
"1","T3466066","CAN","1608 E NEW ORLEANS AVE","TAMPA","33610","$314,000","","","","80","80","One","","","","Square Feet","1932","1,254","1,324"
"1","T3446214","CAN","6502 S HIMES AVE","TAMPA","33611","$314,990","","","","184","184","One","","","","Square Feet","1948","1,304","1,334"
"1","A4584247","CAN","1502 E KNOLLWOOD ST","TAMPA","33610","$315,000","","","","69","69","One","","","","Square Feet","1933","1,351","1,502"
"1","T3453113","CAN","6602 N 31ST ST","TAMPA","33610","$315,000","","","","40","40","Two","","","","Square Feet","1957","2,169","2,169"
"1","T3398812","CAN","8317 N 37TH ST","TAMPA","33604","$315,000","","","","17","17","One","","","","Square Feet","1948","1,712","1,712"
"1","T3453069","CAN","8724 N CALDER PL","TAMPA","33604","$317,000","","","","11","11","One","","","","Square Feet","1953","1,041","1,094"
"1","T3476403","CAN","7405 N HOWARD AVE","TAMPA","33604","$319,000","","","","25","25","One","","","","Square Feet","1957","1,370","1,692"
"1","T3462357","CAN","304 HARMONY LN","BRANDON","33511","$319,000","","","","41","41","One","","1","10x12","Square Feet","1970","1,028","1,500"
"1","T3453736","CAN","2113 W BEACH ST","TAMPA","33607","$319,000","","","","33","33","One","","","","Square Feet","1930","1,275","1,275"
"1","T3377625","CAN","11215 COCOA BEACH DR","RIVERVIEW","33569","$319,000","","","","56","56","One","","2","","Square Feet","2005","1,263","1,887"
"1","T3480840","CAN","7805 N 12TH ST","TAMPA","33604","$319,900","","","","31","31","One","","","","Square Feet","1919","1,822","1,962"
"1","U8211717","CAN","4829 GROVE POINT DR","TAMPA","33624","$319,900","","","","24","24","Two","","1","","Square Feet","1977","1,550","2,064"
"1","U8210348","CAN","1119 TUXFORD DR","BRANDON","33511","$319,900","","","","25","25","One","","2","","Square Feet","1987","1,473","1,972"
"1","T3448030","CAN","8410 N 9TH ST","TAMPA","33604","$319,900","","","","175","175","One","","","","Square Feet","2021","1,359","1,750"
"1","T3438497","CAN","10936 N 15TH ST","TAMPA","33612","$319,900","","","","5","5","One","","","","Square Feet","1958","1,062","1,062"
"1","T3393192","CAN","309 E 122ND AVE","TAMPA","33612","$319,990","","","","10","10","One","","1","","Square Feet","1986","1,239",""
"1","O6158605","CAN","1619 E NOME ST","TAMPA","33604","$320,000","","","","25","25","One","","1","","Square Feet","1961","1,762","1,762"
"1","T3463928","CAN","1608 E LINDEN AVE","TAMPA","33604","$320,000","","","","38","38","One","","","","Square Feet","1950","1,012","1,106"
"1","T3458703","CAN","12909 BRANT TREE","RIVERVIEW","33569","$320,000","","","","7","18","One","","2","","Square Feet","1998","1,543","2,335"
"1","T3417135","CAN","11616 IVY FLOWER LOOP","RIVERVIEW","33578","$320,000","","","","63","63","One","","2","","Square Feet","2003","1,303","2,040"
"1","T3458449","CAN","2925 SANCHEZ ST","TAMPA","33605","$320,500","","","","57","57","One","","","","Square Feet","1925","1,395","1,395"
"1","T3461474","CAN","1522 E 21ST AVE","TAMPA","33605","$324,999","","","","16","57","One","","","","Square Feet","1968","1,242","1,242"
"1","T3484680","CAN","4823 SERENA DR","TAMPA","33617","$325,000","","","","21","21","One","","1","","Square Feet","1980","1,214","1,621"
"1","T3475366","CAN","1205 E MOHAWK AVE","TAMPA","33604","$325,000","","","","61","61","One","","","","Square Feet","1925","1,272","1,656"
"1","T3458997","CAN","10111 ALLENWOOD DR","RIVERVIEW","33569","$325,000","","","","13","13","One","","2","","Square Feet","1993","1,264","1,936"
"1","T3457954","CAN","3009 SANCHEZ ST","TAMPA","33605","$325,000","","","","77","77","One","","","","Square Feet","1925","1,044","1,247"
"1","P4926211","CAN","1513 E 33RD AVE","TAMPA","33610","$325,000","","","","48","48","One","","","","Square Feet","1920","1,092","1,092"
"1","T3436278","CAN","13501 PADRON CT","RIVERVIEW","33579","$325,000","","","","6","6","One","","2","20x19","Square Feet","2003","1,292","1,680"
"1","T3400223","CAN","1808 E FRIERSON AVE","TAMPA","33610","$325,000","","","","44","44","One","","","","Square Feet","1956","1,614",""
"1","T3456363","CAN","411 S ORLEANS AVE","TAMPA","33606","$327,000","","","","16","16","One","","","","Square Feet","1943","938","938"
"1","O6153673","CAN","3008 W VAN BUREN DR","TAMPA","33611","$329,000","","","","16","16","One","","","","Square Feet","1952","950","1,479"
"1","U8218510","CAN","2704 E 19TH AVE","TAMPA","33605","$329,000","","","","22","22","One","","1","","Square Feet","2005","1,446","1,815"
"1","T3473398","CAN","8705 TEMPLE PARK DR","TAMPA","33637","$329,000","","","","49","49","One","","","","Square Feet","1959","1,112","1,363"
"1","T3453486","CAN","8705 N HIGHLAND AVE","TAMPA","33604","$329,000","","","","9","9","One","","","","Square Feet","1967","938","998"
"1","U8209615","CAN","4906 N HIGHLAND AVE","TAMPA","33603","$330,000","","","","89","89","One","","","","Square Feet","1926","900","1,010"
"1","T3462884","CAN","11115 STAFFORD LN","RIVERVIEW","33578","$330,000","","","","89","89","One","","","","Square Feet","1974","1,342","1,651"
"1","U8192569","CAN","1002 E BOUGAINVILLEA AVE","TAMPA","33612","$334,963","","","","30","30","One","","","","Square Feet","1948","1,405","1,555"
"1","U8210762","CAN","3244 FOX LAKE DR","TAMPA","33618","$335,000","","","","112","112","One","","1","","Square Feet","1981","987","987"
"1","T3461465","CAN","2601 N 19TH ST","TAMPA","33605","$335,000","","","","6","53","One","","","","Square Feet","1918","1,023","1,023"
"1","T3456821","CAN","2403 S 68TH ST","TAMPA","33619","$335,000","","","","89","89","One","","","","Square Feet","2000","1,200","1,488"
"1","A4556364","CAN","416 TIMBER CREEK DR","BRANDON","33510","$335,000","","","","198","198","One","","2","","Square Feet","1982","1,356","1,876"
"1","T3361072","CAN","3605 WHITTIER ST","TAMPA","33619","$335,000","","","","330","330","One","","1","","Square Feet","2024","1,152",""
"1","T3458978","CAN","11217 COCOA BEACH DR","RIVERVIEW","33569","$339,900","","","","7","7","One","","2","","Square Feet","2005","1,550","2,130"
"1","T3451634","CAN","2329 W LA SALLE ST","TAMPA","33607","$339,900","","","","51","51","One","","","","Square Feet","1960","705","847"
"1","T3436920","CAN","2102 E ANNIE ST","TAMPA","33612","$339,900","","","","122","122","One","","","","Square Feet","1958","925","1,138"
"1","T3420568","CAN","8304 N NEWPORT AVE","TAMPA","33604","$339,900","","","","24","24","One","","","","Square Feet","1952","1,172","1,172"
"1","T3465090","CAN","1052 AXLEWOOD CIR","BRANDON","33511","$340,000","","","","26","26","One","","1","","Square Feet","1984","1,186","1,725"
"1","T3461440","CAN","3024 W HAYA ST","TAMPA","33614","$340,000","","","","42","42","One","","","","Square Feet","1926","1,108","1,108"
"1","T3453703","CAN","4206 E COMANCHE AVE","TAMPA","33610","$340,000","","","","91","91","One","","","","Square Feet","2006","1,330","1,350"
"1","T3419237","CAN","11633 DUBLIN GRAFTON DR","RIVERVIEW","33579","$340,000","","","","40","40","One","","2","00x00","Square Feet","2018","1,764","2,349"
"1","T3423925","CAN","405 E DR MARTIN LUTHER KING JR BLVD","TAMPA","33603","$345,000","","","","158","158","One","","","","Square Feet","1924","1,260","1,260"
"1","T3371095","CAN","1405 E 26TH AVE","TAMPA","33605","$348,999","","","","566","566","One","Other","2","","Square Feet","1925","960",""
"1","U8199810","CAN","3408 DELEUIL AVE","TAMPA","33610","$349,000","","","","160","160","One","","","","Square Feet","1976","1,020","1,020"
