"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Subdivision/Condo Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","T3447449","SLD","2010 E CARACAS ST","TAMPA","33610","BARNHART SUB","","1,188","$203,000","4","1","0","1952","None","Single Family Residence","$2,218.00","7","7","30","FHA","07/25/2023","$176.68","$170.88","0.97","INVESTORS CHOICE REALTY GROUP","Robert Matthews","261523657","261510424","Tampa","Tampa"
"1","T3448207","SLD","9410 N 10TH ST","TAMPA","33612","GATEWAY SUB","","2,077","$205,100","5","3","0","1928","None","Single Family Residence","$3,299.00","27","27","170","Cash","12/13/2023","$132.40","$98.75","0.75","MCBRIDE KELLY & ASSOCIATES","Tatum Peterson","261554751","272571177","Tampa","Tampa"
"1","T3446216","SLD","1605 E SITKA ST","TAMPA","33604","FERN CLIFF","","780","$210,000","2","1","0","1954","None","Single Family Residence","$1,071.90","3","3","7","Conventional","06/21/2023","$269.23","$269.23","1.00","FLORIDA REALTY","Melissa Star Johnson","261563518","276510000","Tampa","Tampa"
"1","U8200955","SLD","11115 N 19TH ST","TAMPA","33612","BRIARWOOD UNIT 1","","1,370","$225,000","3","1","0","1961","None","Single Family Residence","$2,865.00","17","17","17","Cash","06/22/2023","$175.11","$164.23","0.94","FUTURE HOME REALTY INC","Scott Tomlinson, LLC","278524005","771469","Pinellas Suncoast","Pinellas Suncoast"
"1","O6110126","SLD","1507 E 99TH AVE","TAMPA","33612","TAMPA OVERLOOK","","760","$225,000","2","1","0","1941","None","Single Family Residence","$2,894.59","21","21","24","FHA","08/31/2023","$288.16","$296.05","1.03","MAINFRAME REAL ESTATE","Margeaux Eddy","261211797","260011623","Orlando Regional","Orlando Regional"
"1","T3448153","SLD","8403 PINEWOOD ST","TAMPA","33615","RIVER OAKS ESTATES UNIT 1","","976","$225,750","3","1","0","1961","None","Single Family Residence","$3,050.54","44","44","44","Private","07/27/2023","$256.05","$231.3","0.90","KELLER WILLIAMS TAMPA PROP.","CHRISTINA Griffin","261523017","55055","Tampa","Tampa"
"1","U8200433","SLD","2519 N 54TH ST","TAMPA","33619","UCETA","","1,245","$230,000","3","2","0","2003","None","Single Family Residence","$677.46","1","1","2","Cash","05/25/2023","$184.74","$184.74","1.00","KELLER WILLIAMS GULFSIDE RLTY","Heidi Joy PA","260010933","261011704","Pinellas Suncoast","Pinellas Suncoast"
"1","U8201271","SLD","4434 PERCH ST","TAMPA","33617","DEL RIO ESTATES UNIT 2","","1,474","$233,000","3","1","0","1958","None","Single Family Residence","$915.19","4","4","7","Cash","06/15/2023","$168.59","$158.07","0.94","BRADSHAW & BRADSHAW REALTY SER","Carol Bradshaw","260010543","260011659","Pinellas Suncoast","Pinellas Suncoast"
"1","J961280","SLD","6428 ORAN ST","TAMPA","33610","ORAN SUB","","1,328","$235,000","3","2","0","2007","None","Single Family Residence","$1,953.25","0","0","0","FHA","05/12/2023","$176.96","$176.96","1.00","STELLAR NON-MEMBER OFFICE","Stellar Non-Member Agent","123456789","779460","For Future Use","Other"
"1","T3446740","SLD","4902 EL CAMINO BLANCO BLVD","TAMPA","33619","UNPLATTED","","1,135","$240,000","2","1","0","1953","None","Single Family Residence","$1,231.02","1","1","1","Cash","06/20/2023","$211.45","$211.45","1.00","BLUE SKY TAMPA BAY REALTY","Marsha Giel","261556760","261565194","Tampa","Tampa"
