"#","ML Number","Status","Address","City","Zip","List Price","Close Price","Concessions","Rent Concession","ADOM","CDOM","Floors in Unit/Home","Basement","Garage Spaces","Garage Dimensions","Living Area Units","Year Built","Heated Area","SqFt Total"
"1","T3442015","SLD","2214 LINSEY ST","TAMPA","33605","$245,000","$200,000","","","14","14","One","","","","Square Feet","1943","1,339","1,547"
"1","T3441379","SLD","3801 N 16TH ST","TAMPA","33610","$199,900","$200,000","","","9","9","One","","","","Square Feet","1935","1,581","2,279"
"1","T3444617","SLD","1723 E IDELL ST","TAMPA","33604","$200,000","$205,000","","","9","9","One","","","","Square Feet","1982","1,400","1,450"
"1","T3442227","SLD","3517 POTTER ST","TAMPA","33605","$239,000","$205,000","","","170","170","One","","","","Square Feet","1995","1,232","1,428"
"1","T3444282","SLD","4506 E 26TH AVE","TAMPA","33605","$219,900","$207,000","","","27","27","One","","","","Square Feet","1995","1,182","1,227"
"1","O6109977","SLD","7410 S MORTON ST","TAMPA","33616","$160,000","$210,000","","","1","1","Two","","","","Square Feet","1968","1,265","1,498"
"1","T3442303","SLD","4109 E 98TH AVE","TAMPA","33617","$249,750","$210,000","","","5","5","One","","","","Square Feet","1969","1,340","1,340"
"1","U8198931","SLD","4613 DRIESLER CIR","TAMPA","33634","$249,900","$215,000","","","14","14","One","","","","Square Feet","1964","864","864"
"1","O6109858","SLD","8303 N 14TH ST","TAMPA","33604","$235,000","$220,000","","","74","74","One","","","","Square Feet","1931","752","976"
"1","T3445107","SLD","1419 W LINEBAUGH AVE","TAMPA","33612","$249,900","$225,000","","","-1","-1","One","","","","Square Feet","1954","1,250","1,354"
"1","T3441976","SLD","305 E HYDRANGIA ST","TAMPA","33612","$244,999","$230,000","","","39","39","One","","","","Square Feet","1955","798","1,104"
"1","U8198553","SLD","3613 E FRIERSON AVE","TAMPA","33610","$224,900","$231,000","","","7","7","One","","","","Square Feet","1925","672","672"
"1","T3443520","SLD","7408 W HENRY AVE","TAMPA","33615","$189,000","$235,000","","","3","3","One","","","","Square Feet","1963","1,753","1,939"
"1","T3443650","SLD","10713 N OJUS DR","TAMPA","33617","$280,000","$240,000","","","6","6","One","","1","10X20","Square Feet","1981","1,196","1,466"
"1","T3443226","SLD","2401 HARPER ST","TAMPA","33605","$249,900","$240,000","","","6","6","One","","","","Square Feet","1924","1,210","1,210"
"1","T3443113","SLD","1606 E 97TH AVE","TAMPA","33612","$254,900","$245,000","","","92","92","One","","","","Square Feet","1947","810","810"
"1","T3442979","SLD","1111 BRIARWOOD RD","BRANDON","33511","$246,050","$246,050","","","90","90","One","","","","Square Feet","1959","1,644","2,024"
"1","U8199314","SLD","12106 SHADY FOREST DR","RIVERVIEW","33569","$254,900","$250,000","","","0","0","One","","2","","Square Feet","1993","1,969","2,801"
"1","T3443091","SLD","8705 N DEXTER AVE","TAMPA","33604","$249,990","$254,000","","","21","21","One","","","","Square Feet","1952","624","864"
"1","U8199974","SLD","3811 E MILLER AVE","TAMPA","33604","$250,000","$260,000","","","11","11","Two","","","","Square Feet","1997","1,152","1,152"
"1","T3443724","SLD","609 FAIRMONT DR","BRANDON","33511","$257,000","$260,000","","","5","5","One","","","","Square Feet","1968","1,187","1,187"
"1","T3442470","SLD","10509 BRYNWOOD LN","TAMPA","33624","$289,900","$260,000","","","17","17","One","","","","Square Feet","1978","1,077","1,199"
"1","T3442083","SLD","8027 N NEWPORT AVE","TAMPA","33604","$249,000","$260,000","","","53","53","One","","","","Square Feet","1949","713","713"
"1","T3445003","SLD","7114 N 50TH ST","TAMPA","33617","$260,000","$265,000","","","32","32","One","","","","Square Feet","1960","980","1,071"
"1","T3444852","SLD","1922 W CHESTNUT ST","TAMPA","33607","$280,000","$270,000","","","1","1","One","","","","Square Feet","1963","864","1,320"
"1","T3444357","SLD","1037 BRIDLEWOOD WAY","BRANDON","33511","$275,000","$270,000","","","59","59","One","","1","","Square Feet","1983","822","1,158"
"1","T3443660","SLD","1704 E CAYUGA ST","TAMPA","33610","$279,900","$270,000","","","39","39","One","","","","Square Feet","1947","1,178","1,282"
"1","T3443394","SLD","2122 W PINE ST","TAMPA","33607","$328,900","$270,000","","","28","51","One","","","","Square Feet","1918","1,200","1,200"
"1","T3442974","SLD","6802 E NORTH BAY ST","TAMPA","33610","$269,900","$270,000","","","4","4","One","","","","Square Feet","1960","1,316","1,316"
